google_url,establishment_url,scraped_item,ingredients,combined_score,attribute_scores
'https://maps.google.com/?cid=14730236725027949531','http://places.singleplatform.com/kenny--ziggys-new-york-deli/menu?ref=google',mashed potatoes,,0.35679173,"{'name': 0, 'ingredient_1': 0, 'ingredient_2': 0, 'ingredient_3': 0}"
'https://maps.google.com/?cid=4902502522606942362','https://www.jbarmbbq.com/menus/',toasted pretzel,beer cheese dipping sauce,0.35675532,"{'name': np.float32(0.37440422), 'ingredient_1': np.float32(0.5030674), 'ingredient_2': np.float32(0.43110985), 'ingredient_3': np.float32(0.47895277)}"
'https://maps.google.com/?cid=44402270265030064','http://places.singleplatform.com/cavatore-italian-restaurant/menu?ref=google',vitello alla griglia al limone,grilled veal slices with fresh lemon herbs asparagus served with spaghetti with olive oil,0.3558743,"{'name': np.float32(0.3914198), 'ingredient_1': np.float32(0.47144917), 'ingredient_2': np.float32(0.4819899), 'ingredient_3': np.float32(0.4926182)}"
'https://maps.google.com/?cid=14730236725027949531','http://places.singleplatform.com/kenny--ziggys-new-york-deli/menu?ref=google',cranberry juice,,0.3555969,"{'name': 0, 'ingredient_1': 0, 'ingredient_2': 0, 'ingredient_3': 0}"
'https://maps.google.com/?cid=14730236725027949531','http://places.singleplatform.com/kenny--ziggys-new-york-deli/menu?ref=google',two franks w sauerkraut,,0.35478282,"{'name': 0, 'ingredient_1': 0, 'ingredient_2': 0, 'ingredient_3': 0}"
'https://maps.google.com/?cid=44402270265030064','http://places.singleplatform.com/cavatore-italian-restaurant/menu?ref=google',gamberi della casa,sautéed shrimp and scallops in a garlic lemon butter sauce served on a bed of angel hair pasta,0.35458645,"{'name': np.float32(0.39806104), 'ingredient_1': np.float32(0.5311334), 'ingredient_2': np.float32(0.47137585), 'ingredient_3': np.float32(0.53062373)}"
'https://maps.google.com/?cid=17197490583148868555','https://www.epasha.com/menus/main-courses.html',kunafa,"shredded phyllo dough, pistachios, sweet cheese",0.35440236,"{'name': np.float32(0.33597237), 'ingredient_1': np.float32(0.5030674), 'ingredient_2': np.float32(0.43110985), 'ingredient_3': np.float32(0.47895277)}"
'https://maps.google.com/?cid=14730236725027949531','http://places.singleplatform.com/kenny--ziggys-new-york-deli/menu?ref=google',max's budapest burger,,0.35337102,"{'name': 0, 'ingredient_1': 0, 'ingredient_2': 0, 'ingredient_3': 0}"
'https://maps.google.com/?cid=14730236725027949531','http://places.singleplatform.com/kenny--ziggys-new-york-deli/menu?ref=google',house salad,,0.35282698,"{'name': 0, 'ingredient_1': 0, 'ingredient_2': 0, 'ingredient_3': 0}"
'https://maps.google.com/?cid=14730236725027949531','http://places.singleplatform.com/kenny--ziggys-new-york-deli/menu?ref=google',salami or bologna,,0.35209143,"{'name': 0, 'ingredient_1': 0, 'ingredient_2': 0, 'ingredient_3': 0}"
'https://maps.google.com/?cid=4902502522606942362','https://www.jbarmbbq.com/menus/',sliced turkey sandwich,"fries, texas toast",0.351968,"{'name': np.float32(0.31021014), 'ingredient_1': np.float32(0.4664516), 'ingredient_2': np.float32(0.374851), 'ingredient_3': np.float32(0.5222142)}"
'https://maps.google.com/?cid=13267085063722997148','http://www.travelerstable.com/',blood orange panna cotta,"kumquat-apricot chutney, biscoff crumble, earl grey-peach coulis",0.35108674,"{'name': np.float32(0.40374008), 'ingredient_1': np.float32(0.3689872), 'ingredient_2': np.float32(0.39571095), 'ingredient_3': np.float32(0.37439555)}"
'https://maps.google.com/?cid=14730236725027949531','http://places.singleplatform.com/kenny--ziggys-new-york-deli/menu?ref=google',fresh fruit bowl,,0.34827036,"{'name': 0, 'ingredient_1': 0, 'ingredient_2': 0, 'ingredient_3': 0}"
'https://maps.google.com/?cid=4902502522606942362','https://www.jbarmbbq.com/menus/',hot chocolate,,0.34725022,"{'name': 0, 'ingredient_1': 0, 'ingredient_2': 0, 'ingredient_3': 0}"
'https://maps.google.com/?cid=14730236725027949531','http://places.singleplatform.com/kenny--ziggys-new-york-deli/menu?ref=google',boiled flanken in the pot,,0.34692413,"{'name': 0, 'ingredient_1': 0, 'ingredient_2': 0, 'ingredient_3': 0}"
'https://maps.google.com/?cid=14730236725027949531','http://places.singleplatform.com/kenny--ziggys-new-york-deli/menu?ref=google',hester street chicken,,0.34674758,"{'name': 0, 'ingredient_1': 0, 'ingredient_2': 0, 'ingredient_3': 0}"
'https://maps.google.com/?cid=4902502522606942362','https://www.jbarmbbq.com/menus/',brisket,,0.34669185,"{'name': 0, 'ingredient_1': 0, 'ingredient_2': 0, 'ingredient_3': 0}"
